2020.5	56479.0
2020.75	56993.0
2021	57882.0
2021.25	58842.0
2021.5	59169.0
2021.75	60117.0
2022	59836.0
2022.25	59688.0
2022.5	60080.0
2022.75	60391.0
