1990	9364.259	9345.729062315770
1990.25	9398.243	9410.698279508920
1990.5	9404.494	9474.294526259900
1990.75	9318.876	9536.660733476570
1991	9275.276	9598.133847371040
1991.25	9347.597	9658.772261547100
1991.5	9394.834	9719.052255507580
1991.75	9427.581	9779.687121897620
1992	9540.444	9840.957363402450
1992.25	9643.893	9903.22421874134
1992.5	9739.185	9967.189265703930
1992.75	9840.753	10032.212432261200
1993	9857.185	10098.289325064800
1993.25	9914.565	10165.978013877800
1993.5	9961.873	10234.681747642900
1993.75	10097.362	10304.221986156400
1994	10195.338	10374.320674633500
1994.25	10333.495	10444.871864873300
1994.5	10393.898	10516.403389013800
1994.75	10512.962	10588.510074911600
1995	10550.251	10660.851219949400
1995.25	10581.723	10733.924139214500
1995.5	10671.738	10807.235240138700
1995.75	10744.203	10882.147470119300
1996	10824.674	10958.23746446730
1996.25	11005.217	11038.993541699800
1996.5	11103.935	11125.46368711270
1996.75	11219.238	11217.55080133080
1997	11291.665	11315.116073823900
1997.25	11479.33	11417.51480091590
1997.5	11622.911	11525.073515106200
1997.75	11722.722	11636.524935911700
1998	11839.876	11751.276375894000
1998.25	11949.492	11869.776404278400
1998.5	12099.191	11990.428206739700
1998.75	12294.737	12113.249201767300
1999	12410.778	12238.511791399400
1999.25	12514.408	12365.28498989190
1999.5	12679.977	12493.703483561100
1999.75	12888.281	12624.339767514300
2000	12935.252	12756.197799291800
2000.25	13170.749	12885.549542919000
2000.5	13183.89	13010.047124107900
2000.75	13262.25	13129.144768063300
2001	13219.251	13242.626114221100
2001.25	13301.394	13350.399770501900
2001.5	13248.142	13452.504389530600
2001.75	13284.881	13549.578308347600
2002	13394.91	13642.026653665900
2002.25	13477.356	13731.527536916300
2002.5	13531.741	13819.421745281700
2002.75	13549.421	13906.0730892485
2003	13619.434	13992.484504845500
2003.25	13741.107	14079.71664749200
2003.5	13970.157	14166.968380640900
2003.75	14131.379	14255.295748528800
2004	14212.34	14345.471525215600
2004.25	14323.017	14436.967695131600
2004.5	14457.832	14530.65715477860
2004.75	14605.595	14625.540051760000
2005	14767.846	14718.907157195200
2005.25	14839.707	14809.96635559480
2005.5	14956.291	14899.764672396300
2005.75	15041.232	14987.734747776800
2006	15244.088	15073.664817058700
2006.25	15281.525	15158.023715379800
2006.5	15304.517	15239.103339568200
2006.75	15433.643	15316.914218297900
2007	15478.956	15394.59126299460
2007.25	15577.779	15472.772148648800
2007.5	15671.605	15551.685448278600
2007.75	15767.146	15630.164389951700
2008	15702.906	15707.896436018800
2008.25	15792.773	15782.945118773200
2008.5	15709.562	15854.479153554400
2008.75	15366.607	15921.647052393500
2009	15187.475	15983.298522700300
2009.25	15161.772	16040.702644623100
2009.5	15216.647	16094.741671790700
2009.75	15379.155	16147.063356892400
2010	15456.059	16199.710242322300
2010.25	15605.628	16253.716157120300
2010.5	15726.282	16310.447723810700
2010.75	15807.995	16369.305151435100
2011	15769.911	16430.464766780600
2011.25	15876.839	16494.124187380100
2011.5	15870.684	16560.109528317300
2011.75	16048.702	16627.891653548600
2012	16179.968	16697.390719924400
2012.25	16253.726	16768.971178461600
2012.5	16282.151	16842.16031452140
2012.75	16300.035	16916.653882648700
2013	16441.485	16992.571486427700
2013.25	16464.402	17069.566062011100
2013.5	16594.743	17147.150782277800
2013.75	16712.76	17225.802388399300
2014	16654.247	17305.419454168100
2014.25	16868.109	17385.710529393600
2014.5	17064.616	17467.54920948040
2014.75	17141.235	17550.01479200840
2015	17280.647	17632.760612538000
2015.25	17380.875	17715.60133499200
2015.5	17437.08	17797.91133893590
2015.75	17462.579	17879.075022707300
2016	17565.465	17959.52472566840
2016.25	17618.581	18039.058551483800
2016.5	17724.489	18117.649189862600
2016.75	17812.56	18195.876939707800
2017	17889.094	18274.532822062800
2017.25	17979.218	18352.950873578
2017.5	18127.994	18433.50352198410
2017.75	18310.3	18516.076051463500
2018	18437.127	18600.54251694600
2018.25	18565.697	18687.322097031900
2018.5	18699.748	18776.099110468400
2018.75	18733.741	18865.37289745310
2019	18835.411	18954.764599505500
2019.25	18962.175	19044.881460273400
2019.5	19130.932	19135.419343657600
2019.75	19215.691	19225.599085747500
2020	18989.877	19314.330228562500
2020.25	17378.712	19399.659424294800
2020.5	18743.72	19477.214282920200
2020.75	18924.262	19559.27125986980
2021	19216.224	19644.49
2021.25	19544.248	19732.99
2021.5	19672.594	19822.82
2021.75	20006.181	19914.29
2022	19924.088	20005.45
2022.25	19895.271	20101.18
2022.5	20054.663	20197.94
2022.75	20187.495	20295.47
