DATE	WPU083
1977.08	88.2
1977.16	89.6
1977.25	87.3
1977.34	86.2
1977.42	87.3
1977.5	91.3
1977.58	94.7
1977.66	99.3
1977.75	95.5
1977.83	92.0
1977.92	97.3
1978	99.9
1978.08	100.5
1978.16	97.5
1978.25	94.9
1978.34	98.4
1978.42	101.7
1978.5	99.7
1978.58	104.5
1978.66	102.6
1978.75	103.5
1978.83	107.7
1978.92	107.3
1979	110.9
1979.08	110.8
1979.16	109.7
1979.25	108.7
1979.34	107.4
1979.42	102.8
1979.5	107.6
1979.58	109.6
1979.66	111.1
1979.75	109.4
1979.83	104.3
1979.92	102.5
1980	102.6
1980.08	104.9
1980.16	103.4
1980.25	94.7
1980.34	99.4
1980.42	104.1
1980.5	108.9
1980.58	114.6
1980.66	108.8
1980.75	109.0
1980.83	110.6
1980.92	113.5
1981	108.2
1981.08	108.2
1981.16	107.2
1981.25	110.3
1981.34	107.0
1981.42	108.4
1981.5	106.7
1981.58	105.8
1981.66	103.8
1981.75	100.9
1981.83	100.6
1981.92	103.3
1982	102.3
1982.08	101.3
1982.16	101.9
1982.25	100.8
1982.34	99.3
1982.42	103.0
1982.5	100.1
1982.58	98.7
1982.66	98.4
1982.75	96.5
1982.83	98.2
1982.92	99.6
1983	101.4
1983.08	103.2
1983.16	102.9
1983.25	103.1
1983.34	103.9
1983.42	110.1
1983.5	108.8
1983.58	106.1
1983.66	104.3
1983.75	106.2
1983.83	105.4
1983.92	106.5
1984	106.9
1984.08	107.5
1984.16	107.1
1984.25	104.9
1984.34	101.4
1984.42	101.8
1984.5	102.2
1984.58	106.0
1984.66	104.9
1984.75	103.4
1984.83	101.2
1984.92	101.6
1985	100.9
1985.08	97.6
1985.16	96.3
1985.25	96.0
1985.34	100.1
1985.42	102.2
1985.5	102.0
1985.58	102.4
1985.66	99.2
1985.75	100.8
1985.83	99.0
1985.92	99.4
1986	98.9
1986.08	98.5
1986.16	100.6
1986.25	105.3
1986.34	103.3
1986.42	101.5
1986.5	101.6
1986.58	101.3
1986.66	101.6
1986.75	101.9
1986.83	101.3
1986.92	100.6
1987	100.5
1987.08	102.3
1987.16	103.4
1987.25	101.1
1987.34	99.3
1987.42	98.8
1987.5	100.3
1987.58	102.8
1987.66	107.4
1987.75	104.6
1987.83	105.9
1987.92	104.2
1988	105.3
1988.08	104.4
1988.16	103.4
1988.25	102.1
1988.34	100.3
1988.42	102.2
1988.5	105.3
1988.58	100.3
1988.66	106.3
1988.75	103.1
1988.83	103.6
1988.92	104.7
1989	105.9
1989.08	109.9
1989.16	111.1
1989.25	111.3
1989.34	113.4
1989.42	113.4
1989.5	118.4
1989.58	115.2
1989.66	118.5
1989.75	127.6
1989.83	128.7
1989.92	116.9
1990	114.3
1990.08	115.8
1990.16	116.1
1990.25	125.3
1990.34	122.7
1990.42	115.8
1990.5	117.6
1990.58	112.6
1990.66	111.3
1990.75	106.8
1990.83	105.7
1990.92	106.7
1991	104.0
1991.08	102.7
1991.16	105.4
1991.25	106.9
1991.34	118.9
1991.42	129.3
1991.5	130.0
1991.58	114.4
1991.66	116.2
1991.75	112.6
1991.83	114.3
1991.92	116.4
1992	119.5
1992.08	132.2
1992.16	135.3
1992.25	132.2
1992.34	130.1
1992.42	128.8
1992.5	125.2
1992.58	128.8
1992.66	143.5
1992.75	140.3
1992.83	138.0
1992.92	145.8
1993	154.9
1993.08	164.8
1993.16	168.9
1993.25	158.7
1993.34	148.5
1993.42	144.0
1993.5	143.3
1993.58	146.4
1993.66	149.6
1993.75	147.9
1993.83	150.8
1993.92	155.5
1994	159.7
1994.08	153.8
1994.16	152.5
1994.25	147.8
1994.34	149.2
1994.42	153.8
1994.5	153.7
1994.58	157.6
1994.66	165.7
1994.75	164.6
1994.83	172.5
1994.92	172.0
1995	166.0
1995.08	162.8
1995.16	164.5
1995.25	164.0
1995.34	165.2
1995.42	159.3
1995.5	167.6
1995.58	171.1
1995.66	173.4
1995.75	169.9
1995.83	161.7
1995.92	157.4
1996	154.0
1996.08	154.2
1996.16	152.1
1996.25	151.6
1996.34	158.3
1996.42	155.8
1996.5	154.0
1996.58	157.4
1996.66	166.7
1996.75	160.1
1996.83	157.9
1996.92	155.3
1997	154.5
1997.08	158.8
1997.16	163.6
1997.25	159.1
1997.34	158.2
1997.42	162.7
1997.5	162.6
1997.58	161.6
1997.66	162.6
1997.75	156.0
